sex,age,Family Size,Parents' Cohabitation Status,Mother's education,Father's education,Mother's job,Father's job,reason to choose school,traveltime (home to school),weekly study time ,past class failures,schoolsup,famsup,takes extra paid classes,extra-curricular activities,nursery,willingness to pursue higher education,access to internet,In romantic relationship or not,famrel,freetime after school,Going Out,Workday Alchohol Consumption,Weekend Alchohol Consumption,health,absences,dropout
Female,18,Greater than 3,Apart,higher education,higher education,at_home,teacher,course,15 to 30 min,2 to 5 hours,0,yes,no,no,no,yes,yes,no,no,Good,moderate,regularly,Very Low,very low,average,6,yes
Female,17,Greater than 3,Living Together,4th grade,4th grade,at_home,other,course,<15 min,2 to 5 hours,0,no,yes,no,no,no,yes,yes,no,Excellent,moderate,occasionally,Very Low,very low,average,4,yes
Female,15,Less or equal to 3,Living Together,4th grade,4th grade,at_home,other,other,<15 min,2 to 5 hours,3,yes,no,yes,no,yes,yes,yes,no,Good,moderate,rarely,Low,average,average,10,no
Female,15,Greater than 3,Living Together,higher education,9th grade,health,services,home,<15 min,5 to 10 hours,0,no,yes,yes,yes,yes,yes,yes,yes,Average,limited,rarely,Very Low,very low,very good,2,no
Female,16,Greater than 3,Living Together,12th grade,12th grade,other,other,home,<15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,no,no,Good,moderate,rarely,Very Low,low,very good,4,no
Male,16,Less or equal to 3,Living Together,higher education,12th grade,services,other,reputation,<15 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,Excellent,plenty,rarely,Very Low,low,very good,10,no
Male,16,Less or equal to 3,Living Together,9th grade,9th grade,other,other,home,<15 min,2 to 5 hours,0,no,no,no,no,yes,yes,yes,no,Good,plenty,regularly,Very Low,very low,average,0,no
Female,17,Greater than 3,Apart,higher education,higher education,other,teacher,home,15 to 30 min,2 to 5 hours,0,yes,yes,no,no,yes,yes,no,no,Good,scarce,regularly,Very Low,very low,very bad,6,yes
Male,15,Less or equal to 3,Apart,12th grade,9th grade,services,other,home,<15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,Good,limited,rarely,Very Low,very low,very bad,0,no
Male,15,Greater than 3,Living Together,12th grade,higher education,other,other,home,<15 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,Excellent,ample,very rarely,Very Low,very low,very good,0,no
Female,15,Greater than 3,Living Together,higher education,higher education,teacher,health,reputation,<15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,Average,moderate,occasionally,Very Low,low,bad,0,yes
Female,15,Greater than 3,Living Together,9th grade,4th grade,services,other,reputation,30 min to 1 hour,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,no,Excellent,limited,rarely,Very Low,very low,good,4,no
Male,15,Less or equal to 3,Living Together,higher education,higher education,health,services,course,<15 min,<2 hours,0,no,yes,yes,yes,yes,yes,yes,no,Good,moderate,occasionally,Very Low,average,very good,2,no
Male,15,Greater than 3,Living Together,higher education,12th grade,teacher,other,course,15 to 30 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,Excellent,plenty,occasionally,Very Low,low,average,2,no
Male,15,Greater than 3,Apart,9th grade,9th grade,other,other,home,<15 min,5 to 10 hours,0,no,yes,no,no,yes,yes,yes,yes,Good,ample,rarely,Very Low,very low,average,0,no
Female,16,Greater than 3,Living Together,higher education,higher education,health,other,home,<15 min,<2 hours,0,no,yes,no,no,yes,yes,yes,no,Good,plenty,regularly,Very Low,low,bad,4,no
Female,16,Greater than 3,Living Together,higher education,higher education,services,services,reputation,<15 min,5 to 10 hours,0,no,yes,yes,yes,yes,yes,yes,no,Average,limited,occasionally,Very Low,low,bad,6,no
Female,16,Greater than 3,Living Together,12th grade,12th grade,other,other,reputation,30 min to 1 hour,2 to 5 hours,0,yes,yes,no,yes,yes,yes,no,no,Excellent,moderate,rarely,Very Low,very low,good,4,no
Male,17,Greater than 3,Living Together,12th grade,9th grade,services,services,course,<15 min,<2 hours,3,no,yes,no,yes,yes,yes,yes,no,Excellent,ample,daily,Low,high,very good,16,yes
Male,16,Less or equal to 3,Living Together,higher education,12th grade,health,other,home,<15 min,<2 hours,0,no,no,yes,yes,yes,yes,yes,no,Average,scarce,occasionally,Very Low,average,very good,4,no
